Timestamp,Filename,Origin (Easting[ftUS],Northing[ftUS],Height[ftUS]),Direction (Easting,Northing,Height),Up (Easting,Northing,Height),Roll(X)[deg],Pitch(Y)[deg],Yaw(Z)[deg],Omega[deg],Phi[deg],Kappa[deg]
246827.502913000,181204_211313058.jpg,6042651.241,2250037.978,122.378,-0.193853050,3.274972128,-0.025668919,-0.170032579,0.015594864,3.276393329,-2.947294343,0.448285041,93.387514914,179.727287522,2.970739385,-93.391991791
246827.783044000,181204_211313338.jpg,6042651.124,2250027.801,122.331,-0.198488474,3.274608277,-0.034980524,-0.171401852,0.024588242,3.276266814,-2.961041495,0.610909340,93.468706332,179.570005365,2.994684428,-93.473280911
246828.063129000,181204_211313619.jpg,6042651.047,2250017.475,122.306,-0.202704820,3.274355474,-0.034462241,-0.164729173,0.024267746,3.276611237,-2.844140634,0.601857570,93.542476656,179.575654857,2.878001319,-93.546782984
246828.343214000,181204_211313900.jpg,6042650.942,2250007.033,122.285,-0.205923131,3.274102051,-0.039143172,-0.165215041,0.028760999,3.276550390,-2.847094189,0.683610219,93.598851135,179.497080353,2.886497060,-93.603198216
246828.623159000,181204_211314180.jpg,6042650.817,2249996.422,122.288,-0.210276105,3.273960407,-0.025441111,-0.174473273,0.014232500,3.276166237,-3.024033743,0.444306506,93.674878878,179.751094043,3.048397409,-93.679999570
246828.903151000,181204_211314461.jpg,6042650.731,2249985.730,122.238,-0.213275385,3.273703093,-0.032588151,-0.175398207,0.021165056,3.276079368,-3.031884488,0.569126885,93.727441058,179.629846624,3.064573157,-93.732623937
246829.163143000,181204_211314721.jpg,6042650.675,2249975.705,122.190,-0.218355928,3.273161900,-0.049120498,-0.173504051,0.037568947,3.276032974,-2.978848444,0.857869470,93.816604121,179.342971056,3.031447549,-93.821563995
246829.423136000,181204_211314982.jpg,6042650.604,2249965.505,122.193,-0.229823691,3.272400063,-0.047535334,-0.181314219,0.034829022,3.275640591,-3.115435646,0.830183268,94.017339370,179.390811931,3.168041977,-94.023106984
246829.683128000,181204_211315242.jpg,6042650.571,2249955.177,122.205,-0.241925680,3.271493884,-0.049803548,-0.185847768,0.036100140,3.275372894,-3.189781484,0.869799587,94.229302091,179.368529233,3.247339005,-94.235660620
246829.943120000,181204_211315503.jpg,6042650.570,2249944.695,122.220,-0.260918934,3.270090639,-0.045922265,-0.195091144,0.030405194,3.274893537,-3.353778740,0.802009891,94.561937637,179.468062188,3.409035433,-94.569623517
246830.203159000,181204_211315763.jpg,6042650.664,2249934.045,122.222,-0.288230782,3.267947650,-0.033479209,-0.199187504,0.015963685,3.274749446,-3.440549430,0.584689063,95.040406201,179.720697611,3.480702569,-95.049504229
246830.463198000,181204_211316024.jpg,6042650.869,2249923.316,122.178,-0.316596676,3.265196139,-0.044053538,-0.199568838,0.024814862,3.274671058,-3.427035858,0.769371495,95.538143751,179.565831385,3.487374386,-95.547978234
246830.717144000,181204_211316278.jpg,6042651.170,2249912.682,122.174,-0.347892183,3.262043713,-0.041491241,-0.194680625,0.020878678,3.274992616,-3.341770142,0.724619894,96.087500968,179.634733910,3.401853349,-96.097825643
246830.957090000,181204_211316519.jpg,6042651.542,2249902.538,122.165,-0.369368873,3.259676666,-0.041882551,-0.197784856,0.019651107,3.274814338,-3.393303553,0.731454269,96.464870893,179.656190533,3.456161948,-96.476198801
246831.197036000,181204_211316759.jpg,6042651.994,2249892.308,122.151,-0.383479435,3.257984659,-0.046464880,-0.192178526,0.024075389,3.275118338,-3.283652980,0.811487056,96.713082641,179.578826383,3.358081417,-96.724036061
246831.436982000,181204_211317000.jpg,6042652.496,2249881.952,122.153,-0.394771651,3.256694662,-0.042125020,-0.184809018,0.019953860,3.275569919,-3.161529347,0.735689074,96.911587469,179.650974373,3.229169302,-96.922087593
246831.676975000,181204_211317240.jpg,6042653.024,2249871.507,122.156,-0.395508359,3.256668571,-0.036905323,-0.187424341,0.014343400,3.275450831,-3.218606702,0.644525988,96.924415438,179.749099733,3.274916194,-96.935381357
246831.916922000,181204_211317481.jpg,6042653.596,2249861.076,122.152,-0.383728698,3.258116786,-0.033258933,-0.169560309,0.013462425,3.276427269,-2.912439222,0.580842010,96.717136380,179.764580002,2.962480593,-96.725841802
246832.156914000,181204_211317721.jpg,6042654.110,2249850.678,122.138,-0.364284561,3.260276075,-0.039695293,-0.160758966,0.021920401,3.276824845,-2.746486332,0.693253176,96.375458176,179.616723941,2.808581250,-96.382714858
246832.396907000,181204_211317962.jpg,6042654.550,2249840.229,122.141,-0.339030154,3.263147471,-0.024611068,-0.153446251,0.008760046,3.277236867,-2.648385619,0.429810291,95.931558980,179.846848909,2.680727063,-95.937929238
246832.636900000,181204_211318202.jpg,6042654.881,2249829.816,122.104,-0.307858209,3.266215251,-0.027201071,-0.154746660,0.012690603,3.277162876,-2.668554512,0.475043355,95.384524937,179.778126817,2.703462314,-95.390374485
246832.876893000,181204_211318442.jpg,6042655.156,2249819.407,122.076,-0.272439684,3.269362069,-0.026962756,-0.138179450,0.015501199,3.277890501,-2.380855196,0.470881293,94.763517159,179.729049404,2.413847703,-94.767613927
246833.116886000,181204_211318683.jpg,6042655.274,2249809.043,122.052,-0.235463908,3.272068986,-0.042432882,-0.142839503,0.032206306,3.277569194,-2.446311211,0.741066012,94.116011137,179.437013703,2.495304471,-94.119607485
